island,site,date_coll,time_coll,date_set,time_set,crew,trap,pitfall_condition,sticky_condition,grass,forbs,open,rock,shrubs,dead,moss,other,dist_to_wall,avg_veg_height,comments
Amorgos,AMORGOS,11-06-14,17:30,09-06-14,9:00,ZM,1,GOOD,GOOD,0,2,73,0,25,0,0,0,2.5,0.1,
Amorgos,AMORGOS,11-06-14,17:30,09-06-14,9:00,ZM,2,GOOD,GOOD,0,5,83,2,10,0,0,0,0.5,0.15,
Amorgos,AMORGOS,11-06-14,17:30,09-06-14,9:00,ZM,3,GOOD,GOOD,10,5,35,0,50,0,0,0,3,0.2,
Amorgos,AMORGOS,11-06-14,17:30,09-06-14,9:00,ZM,4,GOOD,LOST,2,2,61,30,5,0,0,0,0.1,0.1,
Amorgos,AMORGOS,11-06-14,17:30,09-06-14,9:00,ZM,5,GOOD,GOOD,10,0,60,15,15,0,0,0,0.1,0.15,sticky trap and stand missing (goats?)
Amorgos,AMORGOS,11-06-14,17:30,09-06-14,9:00,ZM,6,GOOD,GOOD,2,5,23,0,70,0,0,0,1,0.15,
Amorgos,AMORGOS,11-06-14,17:30,09-06-14,9:00,ZM,7,GOOD,GOOD,2,3,30,0,65,0,0,0,2.5,0.25,
Amorgos,AMORGOS,11-06-14,17:30,09-06-14,9:00,ZM,8,GOOD,GOOD,5,20,60,5,10,0,0,0,0.2,0.1,
Amorgos,AMORGOS,11-06-14,17:30,09-06-14,9:00,ZM,9,GOOD,GOOD,15,15,68,0,2,0,0,0,2,0.2,
Artemios,ARTEMIOS,NA,NA,NA,NA,NA,1,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Artemios,ARTEMIOS,NA,NA,NA,NA,NA,2,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Artemios,ARTEMIOS,NA,NA,NA,NA,NA,3,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Artemios,ARTEMIOS,NA,NA,NA,NA,NA,4,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
