sample,site,sample_type,date,lizard_id,order,count,comments
DI-DEMAR-518_36,DEMAR,diet,09-Nov-14,DEMAR-518-36,coleoptera,1,NA
DI-DEMAR-518_36,DEMAR,diet,09-Nov-14,DEMAR-518-36,hemiptera,6,NA
DI-DEMAR-518_36,DEMAR,diet,09-Nov-14,DEMAR-518-36,araneae,1,NA
DI-DEMAR-518_20,DEMAR,diet,09-Nov-14,DEMAR-518-20,coleoptera,3,NA
DI-DEMAR-518_20,DEMAR,diet,09-Nov-14,DEMAR-518-20,hymenoptera,2,NA
DI-DEMAR-518_20,DEMAR,diet,09-Nov-14,DEMAR-518-20,araneae,2,NA
DI-DEMAR-518_20,DEMAR,diet,09-Nov-14,DEMAR-518-20,gastropoda,1,NA
DI-DEMAR-518_21,DEMAR,diet,09-Nov-14,DEMAR-518-21,coleoptera,1,NA
DI-DEMAR-518_21,DEMAR,diet,09-Nov-14,DEMAR-518-21,hemiptera,2,NA
DI-DEMAR-518_21,DEMAR,diet,09-Nov-14,DEMAR-518-21,lepidoptera,1,NA
DI-DEMAR-518_21,DEMAR,diet,09-Nov-14,DEMAR-518-21,araneae,1,NA
DI-DEMAR-518_02,DEMAR,diet,09-Nov-14,DEMAR-518-02,coleoptera,2,NA
DI-DEMAR-518_02,DEMAR,diet,09-Nov-14,DEMAR-518-02,hemiptera,2,NA
DI-DEMAR-518_02,DEMAR,diet,09-Nov-14,DEMAR-518-02,araneae,1,NA
DI-DEMAR-518_04,DEMAR,diet,09-Nov-14,DEMAR-518-04,hemiptera,2,NA
DI-DEMAR-518_04,DEMAR,diet,09-Nov-14,DEMAR-518-04,hymenoptera,1,NA
DI-DEMAR-518_04,DEMAR,diet,09-Nov-14,DEMAR-518-04,orthoptera,1,NA
DI-DEMAR-518_12,DEMAR,diet,09-Nov-14,DEMAR-518-12,hemiptera,1,NA
DI-DEMAR-518_12,DEMAR,diet,09-Nov-14,DEMAR-518-12,orthoptera,1,NA
DI-DEMAR-518_24,DEMAR,diet,09-Nov-14,DEMAR-518-24,hemiptera,1,NA
DI-DEMAR-518_24,DEMAR,diet,09-Nov-14,DEMAR-518-24,hymenoptera,1,NA
DI-DEMAR-518_24,DEMAR,diet,09-Nov-14,DEMAR-518-24,araneae,2,NA
DI-DEMAR-518_24,DEMAR,diet,09-Nov-14,DEMAR-518-24,gastropoda,1,NA
DI-DEMAR-518_11,DEMAR,diet,09-Nov-14,DEMAR-518-11,hemiptera,3,NA
DI-DEMAR-518_11,DEMAR,diet,09-Nov-14,DEMAR-518-11,hymenoptera,1,NA
DI-DEMAR-518_11,DEMAR,diet,09-Nov-14,DEMAR-518-11,orthoptera,1,NA
DI-DEMAR-518_11,DEMAR,diet,09-Nov-14,DEMAR-518-11,araneae,1,NA
DI-DEMAR-518_15,DEMAR,diet,09-Nov-14,DEMAR-518-15,hemiptera,1,NA
DI-DEMAR-518_15,DEMAR,diet,09-Nov-14,DEMAR-518-15,araneae,4,NA
DI-DEMAR-518_15,DEMAR,diet,09-Nov-14,DEMAR-518-15,gastropoda,1,NA
DI-DEMAR-518_08,DEMAR,diet,09-Nov-14,DEMAR-518-08,hemiptera,1,NA
DI-DEMAR-518_08,DEMAR,diet,09-Nov-14,DEMAR-518-08,araneae,2,NA
DI-DEMAR-518_16,DEMAR,diet,09-Nov-14,DEMAR-518-16,araneae,1,NA
DI-DEMAR-518_10,DEMAR,diet,09-Nov-14,DEMAR-518-10,hemiptera,1,NA
DI-DEMAR-518_10,DEMAR,diet,09-Nov-14,DEMAR-518-10,araneae,1,NA
DI-DEMAR-518_33,DEMAR,diet,09-Nov-14,DEMAR-518-33,hemiptera,1,NA
DI-DEMAR-518_18,DEMAR,diet,09-Nov-14,DEMAR-518-18,lepidoptera,1,NA
DI-DEMAR-518_18,DEMAR,diet,09-Nov-14,DEMAR-518-18,orthoptera,1,NA
DI-DEMAR-518_29,DEMAR,diet,09-Nov-14,DEMAR-518-29,coleoptera,3,NA
