sample,site,sample_type,lizard_id,coleoptera,hemiptera,araneae,hymenoptera,gastropoda,lepidoptera,orthoptera,larvae
DI-DEMAR-518_36,DEMAR,diet,DEMAR-518-36,1,6,1,0,0,0,0,0
DI-DEMAR-518_20,DEMAR,diet,DEMAR-518-20,3,0,2,2,1,0,0,0
DI-DEMAR-518_21,DEMAR,diet,DEMAR-518-21,1,2,1,0,0,1,0,0
DI-DEMAR-518_02,DEMAR,diet,DEMAR-518-02,2,2,1,0,0,0,0,0
DI-DEMAR-518_04,DEMAR,diet,DEMAR-518-04,0,2,0,1,0,0,1,0
DI-DEMAR-518_12,DEMAR,diet,DEMAR-518-12,0,1,0,0,0,0,1,0
DI-DEMAR-518_24,DEMAR,diet,DEMAR-518-24,0,1,2,1,1,0,0,0
DI-DEMAR-518_11,DEMAR,diet,DEMAR-518-11,0,3,1,1,0,0,1,0
DI-DEMAR-518_15,DEMAR,diet,DEMAR-518-15,0,1,4,0,1,0,0,0
DI-DEMAR-518_08,DEMAR,diet,DEMAR-518-08,0,1,2,0,0,0,0,0
DI-DEMAR-518_16,DEMAR,diet,DEMAR-518-16,0,0,1,0,0,0,0,0
DI-DEMAR-518_10,DEMAR,diet,DEMAR-518-10,0,1,1,0,0,0,0,0
DI-DEMAR-518_33,DEMAR,diet,DEMAR-518-33,0,1,0,0,0,0,0,0
DI-DEMAR-518_18,DEMAR,diet,DEMAR-518-18,0,0,0,0,0,1,1,0
DI-DEMAR-518_29,DEMAR,diet,DEMAR-518-29,3,1,1,0,1,0,0,0
DI-DEMAR-518_09,DEMAR,diet,DEMAR-518-09,1,0,0,1,0,0,0,1
DI-DEMAR-518_39,DEMAR,diet,DEMAR-518-39,1,1,1,0,0,0,0,0
DI-DEMAR-518_27,DEMAR,diet,DEMAR-518-27,2,0,0,2,0,0,0,0
DI-DEMAR-518_37,DEMAR,diet,DEMAR-518-37,1,0,1,0,0,0,1,0
DI-DEMAR-518_05,DEMAR,diet,DEMAR-518-05,2,0,0,3,0,0,0,0
DI-DEMAR-518_19,DEMAR,diet,DEMAR-518-19,2,2,1,3,0,0,0,1
DI-DEMAR-518_35,DEMAR,diet,DEMAR-518-35,1,5,1,0,1,0,0,0
DI-DEMAR-518_32,DEMAR,diet,DEMAR-518-32,2,5,3,0,0,0,0,0
DI-DEMAR-518_38,DEMAR,diet,DEMAR-518-38,3,1,0,2,0,0,0,1
DI-DEMAR-518_31,DEMAR,diet,DEMAR-518-31,1,0,1,0,0,0,0,0
DI-DEMAR-518_23,DEMAR,diet,DEMAR-518-23,0,1,0,0,0,0,1,0
DI-DEMAR-518_26,DEMAR,diet,DEMAR-518-26,0,0,1,0,0,0,0,0
DI-DEMAR-518_28,DEMAR,diet,DEMAR-518-28,0,0,1,0,0,0,1,0
DI-DEMAR-518_07,DEMAR,diet,DEMAR-518-07,2,0,0,0,0,0,1,0
DI-DEMAR-518_13,DEMAR,diet,DEMAR-518-13,0,1,1,1,0,0,0,0
DI-EMONI-516_03,EMONI,diet,EMONI-516-03,1,0,1,1,0,0,0,0
DI-EMONI-516_06,EMONI,diet,EMONI-516-06,1,1,2,7,0,0,0,1
DI-EMONI-516_07,EMONI,diet,EMONI-516-07,2,0,0,8,0,0,0,0
DI-EMONI-516_09,EMONI,diet,EMONI-516-09,0,2,4,3,0,0,0,0
DI-EMONI-516_14,EMONI,diet,EMONI-516-14,4,0,1,3,0,0,0,1
DI-EMONI-516_15,EMONI,diet,EMONI-516-15,0,0,0,0,0,0,0,1
DI-EMONI-516_17-a,EMONI,diet,EMONI-516-17-a,1,0,0,1,0,0,0,1
DI-EMONI-516_17-b,EMONI,diet,EMONI-516-17-b,0,1,1,1,0,0,0,1
DI-EMONI-516_20,EMONI,diet,EMONI-516-20,2,0,0,2,0,0,0,0
DI-EMONI-516_22,EMONI,diet,EMONI-516-22,1,0,1,0,1,0,0,0
DI-EMONI-516_23,EMONI,diet,EMONI-516-23,1,1,1,0,0,0,0,0
DI-EMONI-516_25,EMONI,diet,EMONI-516-25,0,0,0,0,0,0,1,0
DI-EMONI-516_26,EMONI,diet,EMONI-516-26,0,1,1,6,1,0,0,1
DI-EMONI-516_29,EMONI,diet,EMONI-516-29,3,2,3,3,0,0,0,3
DI-MALYKO-602_17,MALYKO,diet,MALYKO-602-17,0,0,2,5,1,0,1,0
DI-MALYKO-602_11,MALYKO,diet,MALYKO-602-11,0,0,1,0,0,0,0,0
DI-MALYKO-602_20,MALYKO,diet,MALYKO-602-20,0,9,0,1,0,0,0,0
DI-MALYKO-602_K2,MALYKO,diet,MALYKO-602-K2,0,0,0,3,0,0,0,0
DI-MALYKO-602_02,MALYKO,diet,MALYKO-602-02,1,1,0,0,0,0,1,3
DI-MALYKO-602_07,MALYKO,diet,MALYKO-602-07,1,0,0,0,0,0,0,0
DI-MALYKO-602_09,MALYKO,diet,MALYKO-602-09,0,0,0,1,0,0,0,0
DI-MALYKO-602_12,MALYKO,diet,MALYKO-602-12,4,0,0,1,0,0,0,0
DI-MALYKO-602_15,MALYKO,diet,MALYKO-602-15,1,0,0,0,0,0,0,0
DI-NALYKO-601_01,NALYKO,diet,NALYKO-601-01,2,0,1,0,0,0,0,0
DI-NALYKO-601_06,NALYKO,diet,NALYKO-601-06,2,0,1,0,0,0,0,1
DI-NALYKO-601_07,NALYKO,diet,NALYKO-601-07,0,0,0,0,0,0,0,1
DI-NALYKO-601_04,NALYKO,diet,NALYKO-601-04,1,0,0,0,0,0,0,1
DI-NALYKO-601_05,NALYKO,diet,NALYKO-601-05,0,0,1,0,0,0,0,0
DI-RACHI-320_14,RACHI,diet,RACHI-320-14,1,0,0,3,1,0,0,0
DI-RACHI-320_04,RACHI,diet,RACHI-320-04,0,0,1,1,0,0,0,0
DI-RACHI-320_08,RACHI,diet,RACHI-320-08,0,0,0,0,1,0,1,0
DI-RACHI-320_03,RACHI,diet,RACHI-320-03,0,0,1,1,1,0,0,0
DI-RACHI-320_09,RACHI,diet,RACHI-320-09,1,0,0,1,1,0,0,0
DI-RACHI-320_12,RACHI,diet,RACHI-320-12,1,0,1,0,0,0,1,2
DI-RACHI-320_02,RACHI,diet,RACHI-320-02,0,0,0,1,0,0,1,0
DI-RACHI-320_06,RACHI,diet,RACHI-320-06,0,0,1,1,0,0,0,0
DI-RACHI-320_05,RACHI,diet,RACHI-320-05,1,0,1,1,1,0,0,0
DI-RACHI-320_13,RACHI,diet,RACHI-320-13,0,1,0,1,0,0,0,0
DI-SAGRI- 521_03,SAGRI,diet,SAGRI- 521-03,1,1,0,0,0,0,0,0
DI-SAGRI- 521_10,SAGRI,diet,SAGRI- 521-10,1,0,0,0,1,0,1,0
DI-SAGRI- 521_01,SAGRI,diet,SAGRI- 521-01,0,1,0,1,0,0,0,0
DI-SAGRI- 521_11,SAGRI,diet,SAGRI- 521-11,0,0,0,0,0,0,1,0
DI-SAGRI- 521_08,SAGRI,diet,SAGRI- 521-08,0,0,0,0,0,0,1,0
DI-SAGRI- 521_07,SAGRI,diet,SAGRI- 521-07,0,0,0,0,0,0,1,0
DI-SAGRI- 521_09,SAGRI,diet,SAGRI- 521-09,0,1,1,0,0,0,1,0
DI-SMONI-522_01,SMONI,diet,SMONI-522-01,1,0,1,0,0,0,0,0
DI-SMONI-522_17,SMONI,diet,SMONI-522-17,2,0,0,1,0,0,0,0
DI-SMONI-522_35,SMONI,diet,SMONI-522-35,1,0,0,1,0,0,0,0
DI-SMONI-522_33,SMONI,diet,SMONI-522-33,0,2,1,0,0,0,0,0
DI-SMONI-522_03,SMONI,diet,SMONI-522-03,1,0,0,1,0,0,0,0
DI-SMONI-522_22,SMONI,diet,SMONI-522-22,2,2,0,0,1,0,1,1
DI-SMONI-522_05,SMONI,diet,SMONI-522-05,0,0,2,3,0,0,0,0
DI-SMONI-522_26,SMONI,diet,SMONI-522-26,0,1,2,1,0,0,0,0
DI-SMONI-522_04,SMONI,diet,SMONI-522-04,1,0,0,0,0,0,0,1
DI-SMONI-522_21,SMONI,diet,SMONI-522-21,1,0,0,0,1,0,0,3
DI-SMONI-522_38,SMONI,diet,SMONI-522-38,0,0,2,2,0,0,0,0
DI-SMONI-522_09,SMONI,diet,SMONI-522-09,0,0,0,2,0,1,0,1
DI-SMONI-522_06,SMONI,diet,SMONI-522-06,0,1,0,0,0,0,1,2
DI-SMONI-522_34,SMONI,diet,SMONI-522-34,0,0,1,0,1,1,0,1
DI-SMONI-522_19,SMONI,diet,SMONI-522-19,0,2,0,0,0,0,0,1
DI-SMONI-522_32,SMONI,diet,SMONI-522-32,0,3,1,1,0,1,0,1
DI-SMONI-522_39,SMONI,diet,SMONI-522-39,0,0,0,1,0,0,0,0
DI-SMONI-522_10,SMONI,diet,SMONI-522-10,1,0,0,3,0,0,0,0
DI-SMONI-522_13,SMONI,diet,SMONI-522-13,0,17,0,3,0,0,0,0
DI-SMONI-522_02,SMONI,diet,SMONI-522-02,2,0,0,0,1,0,0,1
DI-SMONI-522_30,SMONI,diet,SMONI-522-30,1,0,0,3,1,0,0,0
DI-SMONI-522_24,SMONI,diet,SMONI-522-24,0,0,0,0,0,0,0,1
DI-SMONI-522_07,SMONI,diet,SMONI-522-07,1,0,0,0,0,0,0,0
DI-SMONI-522_37,SMONI,diet,SMONI-522-37,3,0,0,0,0,0,0,1
DI-VIGLA-517_14,VIGLA,diet,VIGLA-517-14,0,1,0,0,1,0,1,0
DI-VIGLA-517_20,VIGLA,diet,VIGLA-517-20,0,22,0,1,1,0,0,2
DI-VIGLA-517_03,VIGLA,diet,VIGLA-517-03,2,0,1,0,0,0,0,2
DI-VIGLA-517_01,VIGLA,diet,VIGLA-517-01,0,0,0,1,0,0,0,0
DI-VIGLA-517_02,VIGLA,diet,VIGLA-517-02,0,1,0,1,0,0,0,0
DI-VIGLA-517_10,VIGLA,diet,VIGLA-517-10,1,0,0,0,0,0,0,0
DI-VIGLA-517_23,VIGLA,diet,VIGLA-517-23,1,1,1,0,0,1,0,0
DI-VIGLA-517_15,VIGLA,diet,VIGLA-517-15,1,7,0,1,0,0,0,0
DI-VIGLA-517_19,VIGLA,diet,VIGLA-517-19,0,1,0,0,1,0,0,1
DI-VIGLA-517_06,VIGLA,diet,VIGLA-517-06,0,1,0,4,0,0,0,0
DI-VIGLA-517_16,VIGLA,diet,VIGLA-517-16,0,1,1,1,0,0,0,0
DI-VIGLA-517_22,VIGLA,diet,VIGLA-517-22,1,48,0,0,1,0,0,2
DI-VIGLA-517_21,VIGLA,diet,VIGLA-517-21,0,1,2,1,0,0,0,2
DI-VIGLA-517_17,VIGLA,diet,VIGLA-517-17,1,2,0,3,1,0,0,0
DI-VIGLA-517_12,VIGLA,diet,VIGLA-517-12,0,2,0,0,0,0,0,0
DI-VIGLA-517_25,VIGLA,diet,VIGLA-517-25,2,1,0,0,1,0,0,0
DI-VIGLA-517_18,VIGLA,diet,VIGLA-517-18,1,22,0,3,1,1,0,0
DI-WMONI-523_30,WMONI,diet,WMONI-523-30,1,0,0,1,0,0,0,0
DI-WMONI-523_18,WMONI,diet,WMONI-523-18,0,0,1,0,0,0,0,0
DI-WMONI-523_34,WMONI,diet,WMONI-523-34,0,0,0,1,1,1,0,0
DI-WMONI-523_27,WMONI,diet,WMONI-523-27,0,0,0,0,1,0,0,1
DI-WMONI-523_09,WMONI,diet,WMONI-523-09,2,0,0,0,0,0,0,1
DI-WMONI-523_51,WMONI,diet,WMONI-523-51,1,3,0,2,1,0,1,0
DI-WMONI-523_17,WMONI,diet,WMONI-523-17,2,0,0,2,0,0,1,0
DI-WMONI-523_36,WMONI,diet,WMONI-523-36,3,0,1,0,0,0,0,1
DI-WMONI-523_41,WMONI,diet,WMONI-523-41,1,1,0,0,0,0,0,0
DI-WMONI-523_22,WMONI,diet,WMONI-523-22,0,1,0,0,0,0,0,1
DI-WMONI-523_19,WMONI,diet,WMONI-523-19,0,0,0,0,0,0,1,0
DI-WMONI-523_10,WMONI,diet,WMONI-523-10,0,0,0,1,0,0,1,0
DI-WMONI-523_24,WMONI,diet,WMONI-523-24,0,1,1,0,0,0,0,0
DI-WMONI-523_35,WMONI,diet,WMONI-523-35,0,1,0,0,0,0,2,1
DI-WMONI-523_54,WMONI,diet,WMONI-523-54,0,1,0,0,1,0,0,1
DI-WMONI-523_14,WMONI,diet,WMONI-523-14,2,0,0,1,0,0,0,1
DI-WMONI-523_15,WMONI,diet,WMONI-523-15,2,1,0,0,0,0,0,0
DI-WMONI-523_03,WMONI,diet,WMONI-523-03,1,1,1,0,0,0,0,0
DI-WMONI-523_23,WMONI,diet,WMONI-523-23,2,1,0,1,0,0,0,2
DI-WMONI-523_37,WMONI,diet,WMONI-523-37,1,2,2,2,1,1,0,0
DI-WMONI-523_29,WMONI,diet,WMONI-523-29,1,0,0,0,0,1,0,0
DI-WMONI-523_13,WMONI,diet,WMONI-523-13,3,0,0,0,0,0,0,0
DI-WMONI-523_31,WMONI,diet,WMONI-523-31,0,2,0,0,0,0,0,1
DI-WMONI-523_11,WMONI,diet,WMONI-523-11,2,0,0,0,1,0,0,0
DI-WMONI-523_25,WMONI,diet,WMONI-523-25,1,0,0,2,0,0,0,0
DI-WMONI-523_49,WMONI,diet,WMONI-523-49,1,1,0,1,0,0,0,0
DI-WMONI-523_32,WMONI,diet,WMONI-523-32,2,0,0,0,0,0,0,1
DI-WMONI-523_50,WMONI,diet,WMONI-523-50,1,2,0,2,1,0,0,0
DI-WMONI-523_06,WMONI,diet,WMONI-523-06,1,1,0,1,0,0,0,0
