sample,site,trap,sample_type,order,count
TP-DEMAR-1,DEMAR,1,pitfall,hemiptera,1
TP-DEMAR-1,DEMAR,1,pitfall,hymenoptera,8
TP-DEMAR-2,DEMAR,2,pitfall,coleoptera,1
TP-DEMAR-2,DEMAR,2,pitfall,hemiptera,1
TP-DEMAR-2,DEMAR,2,pitfall,hymenoptera,7
TP-DEMAR-3,DEMAR,3,pitfall,coleoptera,2
TP-DEMAR-3,DEMAR,3,pitfall,hymenoptera,1
TP-DEMAR-3,DEMAR,3,pitfall,araneae,1
TP-DEMAR-4,DEMAR,4,pitfall,coleoptera,1
TP-DEMAR-4,DEMAR,4,pitfall,hymenoptera,8
TP-DEMAR-5,DEMAR,5,pitfall,coleoptera,2
TP-DEMAR-5,DEMAR,5,pitfall,hemiptera,2
TP-DEMAR-5,DEMAR,5,pitfall,hymenoptera,7
TP-DEMAR-6,DEMAR,6,pitfall,coleoptera,3
TP-DEMAR-6,DEMAR,6,pitfall,hemiptera,1
TP-DEMAR-6,DEMAR,6,pitfall,araneae,2
TP-DEMAR-7,DEMAR,7,pitfall,coleoptera,3
TP-DEMAR-7,DEMAR,7,pitfall,hymenoptera,9
TP-DEMAR-8,DEMAR,8,pitfall,hemiptera,2
TP-DEMAR-8,DEMAR,8,pitfall,hymenoptera,2
TP-DEMAR-9,DEMAR,9,pitfall,hymenoptera,1
TP-DEMAR-10,DEMAR,10,pitfall,coleoptera,2
TP-DEMAR-10,DEMAR,10,pitfall,hemiptera,1
TP-DEMAR-10,DEMAR,10,pitfall,hymenoptera,5
TP-DEMAR-10,DEMAR,10,pitfall,araneae,1
TP-DEMAR-11,DEMAR,11,pitfall,coleoptera,1
TP-DEMAR-11,DEMAR,11,pitfall,hemiptera,1
TP-DEMAR-11,DEMAR,11,pitfall,hymenoptera,23
TP-DEMAR-11,DEMAR,11,pitfall,araneae,3
TP-DEMAR-12,DEMAR,12,pitfall,coleoptera,3
TP-DEMAR-12,DEMAR,12,pitfall,hemiptera,1
TP-DEMAR-12,DEMAR,12,pitfall,hymenoptera,1
TP-EMONI-1,EMONI,1,pitfall,coleoptera,3
TP-EMONI-1,EMONI,1,pitfall,hymenoptera,2
TP-EMONI-2,EMONI,2,pitfall,hymenoptera,43
TP-EMONI-2,EMONI,2,pitfall,araneae,1
TP-EMONI-3,EMONI,3,pitfall,hemiptera,1
TP-EMONI-3,EMONI,3,pitfall,hymenoptera,7
TP-EMONI-3,EMONI,3,pitfall,gastropoda,1
TP-EMONI-4,EMONI,4,pitfall,hemiptera,1
TP-EMONI-4,EMONI,4,pitfall,hymenoptera,14
TP-EMONI-5,EMONI,5,pitfall,hymenoptera,2
TP-EMONI-6,EMONI,6,pitfall,hymenoptera,3
TP-EMONI-7,EMONI,7,pitfall,hymenoptera,9
TP-EMONI-7,EMONI,7,pitfall,lepidoptera,1
TP-EMONI-7,EMONI,7,pitfall,araneae,1
TP-EMONI-8,EMONI,8,pitfall,coleoptera,3
TP-EMONI-8,EMONI,8,pitfall,hemiptera,1
TP-EMONI-8,EMONI,8,pitfall,hymenoptera,7
TP-EMONI-9,EMONI,9,pitfall,coleoptera,1
TP-EMONI-9,EMONI,9,pitfall,hymenoptera,6
TP-EMONI-10,EMONI,10,pitfall,hymenoptera,9
TP-EMONI-10,EMONI,10,pitfall,araneae,1
TP-EMONI-11,EMONI,11,pitfall,coleoptera,2
TP-EMONI-11,EMONI,11,pitfall,hemiptera,1
TP-EMONI-11,EMONI,11,pitfall,hymenoptera,5
TP-EMONI-11,EMONI,11,pitfall,araneae,1
TP-EMONI-12,EMONI,12,pitfall,coleoptera,1
TP-EMONI-12,EMONI,12,pitfall,hymenoptera,5
TP-MALYKO-1,MALYKO,1,pitfall,coleoptera,15
TP-MALYKO-1,MALYKO,1,pitfall,hymenoptera,14
TP-MALYKO-2,MALYKO,2,pitfall,coleoptera,9
TP-MALYKO-2,MALYKO,2,pitfall,hymenoptera,11
TP-MALYKO-3,MALYKO,3,pitfall,coleoptera,12
TP-MALYKO-3,MALYKO,3,pitfall,hymenoptera,8
TP-MALYKO-4,MALYKO,4,pitfall,coleoptera,29
TP-MALYKO-4,MALYKO,4,pitfall,hymenoptera,4
TP-MALYKO-4,MALYKO,4,pitfall,araneae,1
TP-MALYKO-5,MALYKO,5,pitfall,coleoptera,8
TP-MALYKO-5,MALYKO,5,pitfall,hymenoptera,1
TP-MALYKO-6,MALYKO,6,pitfall,coleoptera,12
TP-MALYKO-6,MALYKO,6,pitfall,hymenoptera,9
TP-MALYKO-7,MALYKO,7,pitfall,coleoptera,14
TP-MALYKO-7,MALYKO,7,pitfall,hymenoptera,18
TP-MALYKO-7,MALYKO,7,pitfall,araneae,1
TP-MALYKO-9,MALYKO,9,pitfall,coleoptera,14
TP-MALYKO-9,MALYKO,9,pitfall,hemiptera,29
TP-MALYKO-9,MALYKO,9,pitfall,hymenoptera,19
TP-MALYKO-9,MALYKO,9,pitfall,araneae,1
TP-MALYKO-10,MALYKO,10,pitfall,coleoptera,19
TP-MALYKO-10,MALYKO,10,pitfall,hemiptera,1
TP-MALYKO-10,MALYKO,10,pitfall,hymenoptera,4
TP-MALYKO-11,MALYKO,11,pitfall,coleoptera,12
TP-MALYKO-11,MALYKO,11,pitfall,hemiptera,3
TP-MALYKO-11,MALYKO,11,pitfall,hymenoptera,12
TP-MALYKO-12,MALYKO,12,pitfall,coleoptera,11
TP-MALYKO-12,MALYKO,12,pitfall,hemiptera,1
TP-MALYKO-12,MALYKO,12,pitfall,hymenoptera,8
TP-NALYKO-1,NALYKO,1,pitfall,coleoptera,1
TP-NALYKO-1,NALYKO,1,pitfall,hymenoptera,1
TP-NALYKO-1,NALYKO,1,pitfall,araneae,1
TP-NALYKO-2,NALYKO,2,pitfall,coleoptera,5
TP-NALYKO-2,NALYKO,2,pitfall,hymenoptera,3
TP-NALYKO-3,NALYKO,3,pitfall,coleoptera,11
TP-NALYKO-3,NALYKO,3,pitfall,hymenoptera,5
TP-NALYKO-4,NALYKO,4,pitfall,coleoptera,2
TP-NALYKO-4,NALYKO,4,pitfall,hemiptera,1
TP-NALYKO-4,NALYKO,4,pitfall,hymenoptera,2
TP-NALYKO-5,NALYKO,5,pitfall,coleoptera,10
TP-NALYKO-5,NALYKO,5,pitfall,hymenoptera,12
TP-NALYKO-6,NALYKO,6,pitfall,coleoptera,3
TP-NALYKO-6,NALYKO,6,pitfall,hymenoptera,2
TP-NALYKO-7,NALYKO,7,pitfall,coleoptera,9
TP-NALYKO-7,NALYKO,7,pitfall,hemiptera,1
TP-NALYKO-7,NALYKO,7,pitfall,hymenoptera,17
TP-NALYKO-8,NALYKO,8,pitfall,coleoptera,4
TP-NALYKO-8,NALYKO,8,pitfall,hymenoptera,7
TP-NALYKO-9,NALYKO,9,pitfall,coleoptera,1
TP-NALYKO-9,NALYKO,9,pitfall,hemiptera,1
TP-NALYKO-9,NALYKO,9,pitfall,hymenoptera,11
TP-NALYKO-10,NALYKO,10,pitfall,coleoptera,6
TP-NALYKO-10,NALYKO,10,pitfall,hymenoptera,6
TP-NALYKO-11,NALYKO,11,pitfall,hemiptera,1
TP-NALYKO-11,NALYKO,11,pitfall,hymenoptera,9
TP-NALYKO-12,NALYKO,12,pitfall,coleoptera,22
TP-NALYKO-12,NALYKO,12,pitfall,hymenoptera,33
TP-RACHI-1,RACHI,1,pitfall,coleoptera,13
TP-RACHI-1,RACHI,1,pitfall,hemiptera,1
TP-RACHI-1,RACHI,1,pitfall,hymenoptera,7
