site,set,collected,hours_open,crew,trap,pitfall_condition,pitfall_effort,sticky_condition,sticky_effort,comments,comments_p,comments_s
DEMAR,2014-05-18T09:00:00Z,2014-05-19T18:10:00Z,33.166666666666664,"KC, AM",1,GOOD,1,GOOD,1,Rained on and off on the 19th,NA,NA
DEMAR,2014-05-18T09:00:00Z,2014-05-19T18:10:00Z,33.166666666666664,"KC, AM",2,GOOD,1,GOOD,1,NA,NA,NA
DEMAR,2014-05-18T09:00:00Z,2014-05-19T18:10:00Z,33.166666666666664,"KC, AM",3,GOOD,1,GOOD,1,NA,NA,NA
DEMAR,2014-05-18T09:00:00Z,2014-05-19T18:10:00Z,33.166666666666664,"KC, AM",4,GOOD,1,GOOD,1,NA,NA,NA
DEMAR,2014-05-18T09:00:00Z,2014-05-19T18:10:00Z,33.166666666666664,"KC, AM",5,GOOD,1,GOOD,1,NA,NA,NA
DEMAR,2014-05-18T09:00:00Z,2014-05-19T18:10:00Z,33.166666666666664,"KC, AM",6,GOOD,1,GOOD,1,NA,NA,NA
DEMAR,2014-05-18T09:00:00Z,2014-05-19T18:10:00Z,33.166666666666664,"KC, AM",7,GOOD,1,GOOD,1,NA,NA,NA
DEMAR,2014-05-18T09:00:00Z,2014-05-19T18:10:00Z,33.166666666666664,"KC, AM",8,GOOD,1,GOOD,1,NA,NA,NA
DEMAR,2014-05-18T09:00:00Z,2014-05-19T18:10:00Z,33.166666666666664,"KC, AM",9,GOOD,1,GOOD,1,Uner Oak tree,NA,NA
DEMAR,2014-05-18T09:00:00Z,2014-05-19T18:10:00Z,33.166666666666664,"KC, AM",10,GOOD,1,GOOD,1,NA,NA,NA
DEMAR,2014-05-18T09:00:00Z,2014-05-19T18:10:00Z,33.166666666666664,"KC, AM",11,GOOD,1,FLAW,0.5,Sticky Trap fallen,NA,NA
DEMAR,2014-05-18T09:00:00Z,2014-05-19T18:10:00Z,33.166666666666664,"KC, AM",12,GOOD,1,FLAW,0.5,Trampled; sticky trap 7 m from pitfall trap,NA,NA
EMONI,2014-05-16T09:00:00Z,2014-05-17T18:00:00Z,33,"KC, ZM",1,GOOD,1,FLAW,0.5,"Beneath Tree Canopy, sticky trap tipped over",NA,NA
EMONI,2014-05-16T09:00:00Z,2014-05-17T18:00:00Z,33,"KC, ZM",2,GOOD,1,GOOD,1,NA,NA,NA
EMONI,2014-05-16T09:00:00Z,2014-05-17T18:00:00Z,33,"KC, ZM",3,GOOD,1,GOOD,1,NA,NA,NA
EMONI,2014-05-16T09:00:00Z,2014-05-17T18:00:00Z,33,"KC, ZM",4,GOOD,1,GOOD,1,NA,NA,NA
EMONI,2014-05-16T09:00:00Z,2014-05-17T18:00:00Z,33,"KC, ZM",5,GOOD,1,GOOD,1,NA,NA,NA
EMONI,2014-05-16T09:00:00Z,2014-05-17T18:00:00Z,33,"KC, ZM",6,GOOD,1,GOOD,1,NA,NA,NA
EMONI,2014-05-16T09:00:00Z,2014-05-17T18:00:00Z,33,"KC, ZM",7,GOOD,1,GOOD,1,Beneath tree canopy,NA,NA
EMONI,2014-05-16T09:00:00Z,2014-05-17T18:00:00Z,33,"KC, ZM",8,GOOD,1,GOOD,1,NA,NA,NA
EMONI,2014-05-16T09:00:00Z,2014-05-17T18:00:00Z,33,"KC, ZM",9,GOOD,1,GOOD,1,NA,NA,NA
EMONI,2014-05-16T09:00:00Z,2014-05-17T18:00:00Z,33,"KC, ZM",10,GOOD,1,GOOD,1,NA,NA,NA
EMONI,2014-05-16T09:00:00Z,2014-05-17T18:00:00Z,33,"KC, ZM",11,GOOD,1,GOOD,1,NA,NA,NA
EMONI,2014-05-16T09:00:00Z,2014-05-17T18:00:00Z,33,"KC, ZM",12,GOOD,1,GOOD,1,NA,NA,NA
MALYKO,NA,NA,NA,NA,1,GOOD,1,GOOD,1,No veg survey conducted,NA,NA
MALYKO,NA,NA,NA,NA,2,GOOD,1,GOOD,1,No veg survey conducted,NA,NA
MALYKO,NA,NA,NA,NA,3,GOOD,1,GOOD,1,No veg survey conducted,NA,NA
MALYKO,NA,NA,NA,NA,4,GOOD,1,GOOD,1,No veg survey conducted,NA,NA
MALYKO,NA,NA,NA,NA,5,GOOD,1,GOOD,1,No veg survey conducted,NA,NA
MALYKO,NA,NA,NA,NA,6,GOOD,1,GOOD,1,No veg survey conducted,NA,NA
MALYKO,NA,NA,NA,NA,7,GOOD,1,GOOD,1,No veg survey conducted,NA,NA
MALYKO,NA,NA,NA,NA,8,LOST,0,LOST,0,No veg survey conducted,Trap missing,Trap missing
