site,trap,grass,forbs,open,rock,shrubs,dead,moss,other,dist_to_wall,avg_veg_height,comments
DEMAR,1,20,65,0,0,10,0,0,5,12,0.4,Rained on and off on the 19th
DEMAR,2,10,5,20,0,65,0,0,0,15,0.3,NA
DEMAR,3,60,10,30,0,0,0,0,0,5,0.2,NA
DEMAR,4,10,20,45,20,5,0,0,0,0,0.4,NA
DEMAR,5,5,5,55,20,5,0,0,10,0,0.2,NA
DEMAR,6,30,50,8,10,2,0,0,0,0,0.4,NA
DEMAR,7,20,60,5,10,5,0,0,0,0,0.3,NA
DEMAR,8,1,0,87,2,10,0,0,0,15,0.3,NA
DEMAR,9,15,20,40,0,5,0,0,20,12,0.3,Uner Oak tree
DEMAR,10,5,40,15,0,40,0,0,0,18,0.3,NA
DEMAR,11,20,75,0,0,5,0,0,0,20,0.45,Sticky Trap fallen
DEMAR,12,85,10,0,0,5,0,0,0,7,0.25,Trampled; sticky trap 7 m from pitfall trap
EMONI,1,2,1,97,0,0,0,0,0,8,0.1,"Beneath Tree Canopy, sticky trap tipped over"
EMONI,2,1,3,71,0,20,0,0,5,0.5,0.3,NA
EMONI,3,0,35,35,0,30,0,0,0,0.5,0.4,NA
EMONI,4,5,30,63,0,2,0,0,0,0.5,0.25,NA
EMONI,5,0,20,20,5,55,0,0,0,0.1,0.6,NA
EMONI,6,0,35,25,5,35,0,0,0,0.1,0.4,NA
EMONI,7,5,15,80,0,0,0,0,0,3,0.05,Beneath tree canopy
EMONI,8,0,1,99,0,0,0,0,0,3,0.01,NA
EMONI,9,0,0,100,0,0,0,0,0,4,0,NA
EMONI,10,2,35,38,15,10,0,0,0,0,0.4,NA
EMONI,11,2,20,23,15,40,0,0,0,0,0.35,NA
EMONI,12,1,15,39,25,20,0,0,0,0,0.45,NA
MALYKO,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No veg survey conducted
MALYKO,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No veg survey conducted
MALYKO,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No veg survey conducted
MALYKO,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No veg survey conducted
MALYKO,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No veg survey conducted
MALYKO,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No veg survey conducted
MALYKO,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No veg survey conducted
MALYKO,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No veg survey conducted
MALYKO,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No veg survey conducted
MALYKO,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No veg survey conducted
MALYKO,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No veg survey conducted
MALYKO,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No veg survey conducted
NALYKO,1,0,1,59,0,0,0,0,40,NA,1,other=tree
NALYKO,2,0,0,80,0,20,0,0,0,NA,0.1,NA
NALYKO,3,0,0,95,0,5,0,0,0,NA,0.1,NA
NALYKO,4,0,0,100,0,0,0,0,0,NA,0,NA
NALYKO,5,0,0,100,0,0,0,0,0,NA,0,NA
NALYKO,6,0,0,99,0,0,0,0,1,NA,0.06,other=tree
NALYKO,7,0,0,60,0,40,0,0,0,NA,0.06,live Mediodactylus in trap (released)
NALYKO,8,0,0,45,0,55,0,0,0,NA,0.2,NA
NALYKO,9,0,0,45,0,55,0,0,0,NA,0.05,NA
