site,date,lizard_id,comments,order,count
DEMAR,09-Nov-14,DEMAR-518-36,NA,coleoptera,1
DEMAR,09-Nov-14,DEMAR-518-36,NA,hemiptera,6
DEMAR,09-Nov-14,DEMAR-518-36,NA,thysanura,1
DEMAR,09-Nov-14,DEMAR-518-36,NA,araneae,1
DEMAR,09-Nov-14,DEMAR-518-20,NA,coleoptera,3
DEMAR,09-Nov-14,DEMAR-518-20,NA,hymenoptera,2
DEMAR,09-Nov-14,DEMAR-518-20,NA,araneae,2
DEMAR,09-Nov-14,DEMAR-518-20,NA,gastropoda,1
DEMAR,09-Nov-14,DEMAR-518-21,NA,coleoptera,1
DEMAR,09-Nov-14,DEMAR-518-21,NA,hemiptera,2
DEMAR,09-Nov-14,DEMAR-518-21,NA,lepidoptera,1
DEMAR,09-Nov-14,DEMAR-518-21,NA,araneae,1
DEMAR,09-Nov-14,DEMAR-518-02,NA,coleoptera,2
DEMAR,09-Nov-14,DEMAR-518-02,NA,hemiptera,2
DEMAR,09-Nov-14,DEMAR-518-02,NA,araneae,1
DEMAR,09-Nov-14,DEMAR-518-04,NA,hemiptera,2
DEMAR,09-Nov-14,DEMAR-518-04,NA,hymenoptera,1
DEMAR,09-Nov-14,DEMAR-518-04,NA,orthoptera,1
DEMAR,09-Nov-14,DEMAR-518-12,NA,hemiptera,1
DEMAR,09-Nov-14,DEMAR-518-12,NA,orthoptera,1
DEMAR,09-Nov-14,DEMAR-518-24,NA,hemiptera,1
DEMAR,09-Nov-14,DEMAR-518-24,NA,hymenoptera,1
DEMAR,09-Nov-14,DEMAR-518-24,NA,araneae,2
DEMAR,09-Nov-14,DEMAR-518-24,NA,gastropoda,1
DEMAR,09-Nov-14,DEMAR-518-11,NA,hemiptera,3
DEMAR,09-Nov-14,DEMAR-518-11,NA,hymenoptera,1
DEMAR,09-Nov-14,DEMAR-518-11,NA,orthoptera,1
DEMAR,09-Nov-14,DEMAR-518-11,NA,araneae,1
DEMAR,09-Nov-14,DEMAR-518-15,NA,hemiptera,1
DEMAR,09-Nov-14,DEMAR-518-15,NA,araneae,4
DEMAR,09-Nov-14,DEMAR-518-15,NA,gastropoda,1
DEMAR,09-Nov-14,DEMAR-518-08,NA,diptera,1
DEMAR,09-Nov-14,DEMAR-518-08,NA,hemiptera,1
DEMAR,09-Nov-14,DEMAR-518-08,NA,araneae,2
DEMAR,09-Nov-14,DEMAR-518-08,NA,isopoda,1
DEMAR,09-Nov-14,DEMAR-518-16,NA,araneae,1
DEMAR,09-Nov-14,DEMAR-518-10,NA,hemiptera,1
DEMAR,09-Nov-14,DEMAR-518-10,NA,thysanura,1
DEMAR,09-Nov-14,DEMAR-518-10,NA,araneae,1
DEMAR,09-Nov-14,DEMAR-518-33,NA,hemiptera,1
DEMAR,09-Nov-14,DEMAR-518-33,NA,isopoda,1
DEMAR,09-Nov-14,DEMAR-518-18,NA,lepidoptera,1
DEMAR,09-Nov-14,DEMAR-518-18,NA,orthoptera,1
DEMAR,09-Nov-14,DEMAR-518-29,NA,coleoptera,3
DEMAR,09-Nov-14,DEMAR-518-29,NA,hemiptera,1
DEMAR,09-Nov-14,DEMAR-518-29,NA,araneae,1
DEMAR,09-Nov-14,DEMAR-518-29,NA,gastropoda,1
DEMAR,09-Nov-14,DEMAR-518-09,NA,coleoptera,1
DEMAR,09-Nov-14,DEMAR-518-09,NA,hymenoptera,1
DEMAR,09-Nov-14,DEMAR-518-09,NA,lepidoptera_larvae,1
DEMAR,09-Nov-14,DEMAR-518-39,NA,coleoptera,1
DEMAR,09-Nov-14,DEMAR-518-39,NA,hemiptera,1
DEMAR,09-Nov-14,DEMAR-518-39,NA,spider_egg,1
DEMAR,09-Nov-14,DEMAR-518-39,NA,araneae,1
DEMAR,09-Nov-14,DEMAR-518-27,NA,coleoptera,2
DEMAR,09-Nov-14,DEMAR-518-27,NA,hymenoptera,2
