site,lizard_id,coleoptera,hemiptera,thysanura,araneae,hymenoptera,gastropoda,lepidoptera,orthoptera,diptera,isopoda,lepidoptera_larvae,spider_egg,diptera_larvae,coleoptera_larvae,acari,neuroptera_larvae,pseudoscorpiones,blattodea,odonata,insect_egg,raphidioptera
DEMAR,DEMAR-518-36,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-20,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-21,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-02,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-04,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-24,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-11,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-15,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-08,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-10,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-33,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-18,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-29,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-09,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-39,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-27,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-37,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-05,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-19,2,2,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-35,1,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-32,2,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-38,3,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-31,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-23,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-26,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-28,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-07,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DEMAR,DEMAR-518-13,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMONI,EMONI-516-03,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMONI,EMONI-516-06,1,1,0,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
EMONI,EMONI-516-07,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMONI,EMONI-516-09,0,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMONI,EMONI-516-14,4,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
EMONI,EMONI-516-15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
EMONI,EMONI-516-17-a,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
EMONI,EMONI-516-17-b,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
EMONI,EMONI-516-20,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
EMONI,EMONI-516-22,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMONI,EMONI-516-23,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EMONI,EMONI-516-25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EMONI,EMONI-516-26,0,1,0,1,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
EMONI,EMONI-516-29,3,2,0,3,3,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0
MALYKO,MALYKO-602-17,0,0,0,2,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MALYKO,MALYKO-602-11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MALYKO,MALYKO-602-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MALYKO,MALYKO-602-20,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MALYKO,MALYKO-602-K2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
