island,site,date,lizard_id,comments,order,count
Naxos,DEMAR,09-Nov-14,DEMAR-518-02,NA,flower_parts,1
Naxos,DEMAR,09-Nov-14,DEMAR-518-13,NA,seed,1
Naxos,EMONI,16-May-14,EMONI-516-26,NA,stick,2
Naxos,MALYKO,07-Oct-14,MALYKO-602-17,NA,leaf,1
Naxos,MALYKO,07-Oct-14,MALYKO-602-17,NA,stick,1
Naxos,MALYKO,07-Oct-14,MALYKO-602-20,NA,seed_pod,1
Naxos,MALYKO,07-Oct-14,MALYKO-602-02,NA,leaf,1
Naxos,MALYKO,07-Oct-14,MALYKO-602-07,mealworm,sand,1
Naxos,MALYKO,07-Oct-14,MALYKO-602-10,NA,berry,5
Naxos,MALYKO,07-Oct-14,MALYKO-602-10,NA,flower_parts,1
Naxos,MALYKO,07-Oct-14,MALYKO-602-12,NA,berry,1
Naxos,NALYKO,01-Oct-14,NALYKO-601-06,mealworm,sand,1
Naxos,NALYKO,01-Oct-14,NALYKO-601-05,NA,sand,1
Naxos,NALYKO,01-Oct-14,NALYKO-601-02,unidentified thing: grey shell thing with black lines,leaf,1
Naxos,NALYKO,01-Oct-14,NALYKO-601-02,unidentified thing: grey shell thing with black lines,sand,1
Naxos,SMONI,07-Nov-14,SMONI-522-22,NA,seed,2
Naxos,SMONI,07-Nov-14,SMONI-522-34,NA,flower_parts,3
Naxos,SMONI,07-Nov-14,SMONI-522-19,NA,flower_parts,1
Naxos,SMONI,07-Nov-14,SMONI-522-10,NA,leaf,1
Naxos,VIGLA,07-Nov-14,VIGLA-517-08,NA,flower_parts,1
Naxos,VIGLA,07-Nov-14,VIGLA-517-21,NA,stick,1
Naxos,WMONI,08-Nov-14,WMONI-523-34,NA,stick,1
Naxos,WMONI,08-Nov-14,WMONI-523-09,NA,stick,1
Naxos,WMONI,08-Nov-14,WMONI-523-11,NA,stick,1
Naxos,WMONI,08-Nov-14,WMONI-523-25,NA,flower_parts,1
