sample,site,trap,trap_type,order,count
DEMAR-P1,DEMAR,1,pitfall,diptera,1
DEMAR-P1,DEMAR,1,pitfall,hemiptera,1
DEMAR-P1,DEMAR,1,pitfall,hymenoptera,8
DEMAR-P2,DEMAR,2,pitfall,coleoptera,1
DEMAR-P2,DEMAR,2,pitfall,hemiptera,1
DEMAR-P2,DEMAR,2,pitfall,hymenoptera,7
DEMAR-P2,DEMAR,2,pitfall,acari,1
DEMAR-P3,DEMAR,3,pitfall,coleoptera,2
DEMAR-P3,DEMAR,3,pitfall,diptera,1
DEMAR-P3,DEMAR,3,pitfall,hymenoptera,1
DEMAR-P3,DEMAR,3,pitfall,collembola,2
DEMAR-P3,DEMAR,3,pitfall,araneae,1
DEMAR-P4,DEMAR,4,pitfall,coleoptera,1
DEMAR-P4,DEMAR,4,pitfall,diptera,1
DEMAR-P4,DEMAR,4,pitfall,hymenoptera,8
DEMAR-P4,DEMAR,4,pitfall,acari,1
DEMAR-P4,DEMAR,4,pitfall,isopoda,1
DEMAR-P5,DEMAR,5,pitfall,coleoptera,2
DEMAR-P5,DEMAR,5,pitfall,hemiptera,2
DEMAR-P5,DEMAR,5,pitfall,hymenoptera,7
DEMAR-P5,DEMAR,5,pitfall,acari,2
DEMAR-P6,DEMAR,6,pitfall,coleoptera,3
DEMAR-P6,DEMAR,6,pitfall,hemiptera,1
DEMAR-P6,DEMAR,6,pitfall,araneae,2
DEMAR-P7,DEMAR,7,pitfall,coleoptera,3
DEMAR-P7,DEMAR,7,pitfall,diptera,2
DEMAR-P7,DEMAR,7,pitfall,hymenoptera,9
DEMAR-P7,DEMAR,7,pitfall,acari,2
DEMAR-P8,DEMAR,8,pitfall,hemiptera,2
DEMAR-P8,DEMAR,8,pitfall,hymenoptera,2
DEMAR-P9,DEMAR,9,pitfall,hymenoptera,1
DEMAR-P9,DEMAR,9,pitfall,collembola,1
DEMAR-P9,DEMAR,9,pitfall,acari,1
DEMAR-P10,DEMAR,10,pitfall,coleoptera,2
DEMAR-P10,DEMAR,10,pitfall,hemiptera,1
DEMAR-P10,DEMAR,10,pitfall,hymenoptera,5
DEMAR-P10,DEMAR,10,pitfall,acari,2
DEMAR-P10,DEMAR,10,pitfall,araneae,1
DEMAR-P11,DEMAR,11,pitfall,coleoptera,1
DEMAR-P11,DEMAR,11,pitfall,hemiptera,1
DEMAR-P11,DEMAR,11,pitfall,hymenoptera,23
DEMAR-P11,DEMAR,11,pitfall,collembola,1
DEMAR-P11,DEMAR,11,pitfall,acari,1
DEMAR-P11,DEMAR,11,pitfall,araneae,3
DEMAR-P11,DEMAR,11,pitfall,pseudoscorpiones,1
DEMAR-P12,DEMAR,12,pitfall,coleoptera,3
DEMAR-P12,DEMAR,12,pitfall,hemiptera,1
DEMAR-P12,DEMAR,12,pitfall,hymenoptera,1
DEMAR-P12,DEMAR,12,pitfall,acari,1
EMONI-P1,EMONI,1,pitfall,coleoptera,3
EMONI-P1,EMONI,1,pitfall,diptera,26
EMONI-P1,EMONI,1,pitfall,hymenoptera,2
EMONI-P1,EMONI,1,pitfall,collembola,1
EMONI-P1,EMONI,1,pitfall,embioptera,5
EMONI-P2,EMONI,2,pitfall,diptera,1
EMONI-P2,EMONI,2,pitfall,hymenoptera,43
EMONI-P2,EMONI,2,pitfall,araneae,1
EMONI-P3,EMONI,3,pitfall,diptera,1
EMONI-P3,EMONI,3,pitfall,hemiptera,1
EMONI-P3,EMONI,3,pitfall,hymenoptera,7
EMONI-P3,EMONI,3,pitfall,gastropoda,1
EMONI-P4,EMONI,4,pitfall,hemiptera,1
EMONI-P4,EMONI,4,pitfall,hymenoptera,14
EMONI-P5,EMONI,5,pitfall,diptera,4
EMONI-P5,EMONI,5,pitfall,hymenoptera,2
EMONI-P6,EMONI,6,pitfall,hymenoptera,3
EMONI-P7,EMONI,7,pitfall,diptera,10
EMONI-P7,EMONI,7,pitfall,hymenoptera,9
EMONI-P7,EMONI,7,pitfall,lepidoptera,1
EMONI-P7,EMONI,7,pitfall,araneae,1
EMONI-P8,EMONI,8,pitfall,coleoptera,3
EMONI-P8,EMONI,8,pitfall,diptera,1
EMONI-P8,EMONI,8,pitfall,hemiptera,1
EMONI-P8,EMONI,8,pitfall,hymenoptera,7
EMONI-P9,EMONI,9,pitfall,coleoptera,1
EMONI-P9,EMONI,9,pitfall,hymenoptera,6
EMONI-P9,EMONI,9,pitfall,acari,1
EMONI-P10,EMONI,10,pitfall,diptera,1
EMONI-P10,EMONI,10,pitfall,hymenoptera,9
EMONI-P10,EMONI,10,pitfall,acari,1
EMONI-P10,EMONI,10,pitfall,araneae,1
EMONI-P11,EMONI,11,pitfall,coleoptera,2
EMONI-P11,EMONI,11,pitfall,diptera,1
EMONI-P11,EMONI,11,pitfall,hemiptera,1
EMONI-P11,EMONI,11,pitfall,hymenoptera,5
EMONI-P11,EMONI,11,pitfall,embioptera,1
EMONI-P11,EMONI,11,pitfall,araneae,1
EMONI-P12,EMONI,12,pitfall,coleoptera,1
EMONI-P12,EMONI,12,pitfall,hymenoptera,5
EMONI-P12,EMONI,12,pitfall,acari,1
MALYKO-P1,MALYKO,1,pitfall,coleoptera,15
MALYKO-P1,MALYKO,1,pitfall,hymenoptera,14
MALYKO-P1,MALYKO,1,pitfall,embioptera,1
MALYKO-P2,MALYKO,2,pitfall,coleoptera,9
MALYKO-P2,MALYKO,2,pitfall,hymenoptera,11
MALYKO-P2,MALYKO,2,pitfall,collembola,3
MALYKO-P2,MALYKO,2,pitfall,thysanura,1
MALYKO-P2,MALYKO,2,pitfall,acari,1
MALYKO-P3,MALYKO,3,pitfall,coleoptera,12
MALYKO-P3,MALYKO,3,pitfall,hymenoptera,8
MALYKO-P4,MALYKO,4,pitfall,coleoptera,29
MALYKO-P4,MALYKO,4,pitfall,hymenoptera,4
MALYKO-P4,MALYKO,4,pitfall,embioptera,1
MALYKO-P4,MALYKO,4,pitfall,acari,1
MALYKO-P4,MALYKO,4,pitfall,araneae,1
MALYKO-P5,MALYKO,5,pitfall,coleoptera,8
MALYKO-P5,MALYKO,5,pitfall,hymenoptera,1
MALYKO-P5,MALYKO,5,pitfall,isopoda,1
MALYKO-P6,MALYKO,6,pitfall,coleoptera,12
MALYKO-P6,MALYKO,6,pitfall,hymenoptera,9
MALYKO-P6,MALYKO,6,pitfall,acari,1
MALYKO-P7,MALYKO,7,pitfall,coleoptera,14
MALYKO-P7,MALYKO,7,pitfall,hymenoptera,18
MALYKO-P7,MALYKO,7,pitfall,embioptera,1
MALYKO-P7,MALYKO,7,pitfall,araneae,1
MALYKO-P9,MALYKO,9,pitfall,coleoptera,14
MALYKO-P9,MALYKO,9,pitfall,diptera,1
MALYKO-P9,MALYKO,9,pitfall,hemiptera,29
MALYKO-P9,MALYKO,9,pitfall,hymenoptera,19
MALYKO-P9,MALYKO,9,pitfall,acari,1
MALYKO-P9,MALYKO,9,pitfall,araneae,1
MALYKO-P9,MALYKO,9,pitfall,isopoda,1
MALYKO-P10,MALYKO,10,pitfall,coleoptera,19
MALYKO-P10,MALYKO,10,pitfall,hemiptera,1
MALYKO-P10,MALYKO,10,pitfall,hymenoptera,4
MALYKO-P10,MALYKO,10,pitfall,acari,1
MALYKO-P11,MALYKO,11,pitfall,coleoptera,12
MALYKO-P11,MALYKO,11,pitfall,hemiptera,3
MALYKO-P11,MALYKO,11,pitfall,hymenoptera,12
MALYKO-P11,MALYKO,11,pitfall,acari,1
MALYKO-P12,MALYKO,12,pitfall,coleoptera,11
MALYKO-P12,MALYKO,12,pitfall,hemiptera,1
MALYKO-P12,MALYKO,12,pitfall,hymenoptera,8
MALYKO-P12,MALYKO,12,pitfall,acari,1
NALYKO-P1,NALYKO,1,pitfall,coleoptera,1
NALYKO-P1,NALYKO,1,pitfall,hymenoptera,1
NALYKO-P1,NALYKO,1,pitfall,araneae,1
NALYKO-P1,NALYKO,1,pitfall,chilopoda,1
NALYKO-P2,NALYKO,2,pitfall,coleoptera,5
NALYKO-P2,NALYKO,2,pitfall,hymenoptera,3
NALYKO-P3,NALYKO,3,pitfall,coleoptera,11
NALYKO-P3,NALYKO,3,pitfall,hymenoptera,5
NALYKO-P4,NALYKO,4,pitfall,coleoptera,2
NALYKO-P4,NALYKO,4,pitfall,hemiptera,1
NALYKO-P4,NALYKO,4,pitfall,hymenoptera,2
NALYKO-P4,NALYKO,4,pitfall,acari,2
NALYKO-P5,NALYKO,5,pitfall,coleoptera,10
NALYKO-P5,NALYKO,5,pitfall,hymenoptera,12
NALYKO-P6,NALYKO,6,pitfall,coleoptera,3
NALYKO-P6,NALYKO,6,pitfall,hymenoptera,2
