island,site,date_coll,time_coll,date_set,time_set,crew,trap,grass,forbs,open,rock,shrubs,dead,moss,other,dist_to_wall,avg_veg_height,comments
Naxos,EMONI,17-05-14,18:00:00,16-05-14,09:00:00,"KC, ZM",1,2,1,97,0,0,0,0,0,8,0.1,"Beneath Tree Canopy, sticky trap tipped over"
Naxos,EMONI,17-05-14,18:00:00,16-05-14,09:00:00,"KC, ZM",2,1,3,71,0,20,0,0,5,0.5,0.3,NA
Naxos,EMONI,17-05-14,18:00:00,16-05-14,09:00:00,"KC, ZM",3,0,35,35,0,30,0,0,0,0.5,0.4,NA
Naxos,EMONI,17-05-14,18:00:00,16-05-14,09:00:00,"KC, ZM",4,5,30,63,0,2,0,0,0,0.5,0.25,NA
Naxos,EMONI,17-05-14,18:00:00,16-05-14,09:00:00,"KC, ZM",5,0,20,20,5,55,0,0,0,0.1,0.6,NA
Naxos,EMONI,17-05-14,18:00:00,16-05-14,09:00:00,"KC, ZM",6,0,35,25,5,35,0,0,0,0.1,0.4,NA
Naxos,EMONI,17-05-14,18:00:00,16-05-14,09:00:00,"KC, ZM",7,5,15,80,0,0,0,0,0,3,0.05,Beneath tree canopy
Naxos,EMONI,17-05-14,18:00:00,16-05-14,09:00:00,"KC, ZM",8,0,1,99,0,0,0,0,0,3,0.01,NA
Naxos,EMONI,17-05-14,18:00:00,16-05-14,09:00:00,"KC, ZM",9,0,0,100,0,0,0,0,0,4,0,NA
Naxos,EMONI,17-05-14,18:00:00,16-05-14,09:00:00,"KC, ZM",10,2,35,38,15,10,0,0,0,0,0.4,NA
Naxos,EMONI,17-05-14,18:00:00,16-05-14,09:00:00,"KC, ZM",11,2,20,23,15,40,0,0,0,0,0.35,NA
Naxos,EMONI,17-05-14,18:00:00,16-05-14,09:00:00,"KC, ZM",12,1,15,39,25,20,0,0,0,0,0.45,NA
Naxos,EMONI,17-05-14,18:30:00,17-05-14,08:45:00,"KC, AM",1,5,15,60,10,10,0,0,0,70,0.2,NA
Naxos,VIGLA,18-05-14,18:30:00,17-05-14,08:45:00,"KC, AM",2,1,5,74,10,10,0,0,0,55,0.1,NA
Naxos,VIGLA,18-05-14,18:30:00,17-05-14,08:45:00,"KC, AM",3,5,15,73,2,5,0,0,0,40,0.3,NA
Naxos,VIGLA,18-05-14,18:30:00,17-05-14,08:45:00,"KC, AM",4,4,16,75,0,5,0,0,0,35,0.2,NA
Naxos,VIGLA,18-05-14,18:30:00,17-05-14,08:45:00,"KC, AM",5,5,1,60,30,4,0,0,0,50,0.2,NA
Naxos,VIGLA,18-05-14,18:30:00,17-05-14,08:45:00,"KC, AM",6,3,10,83,0,4,0,0,0,65,0.1,NA
Naxos,VIGLA,18-05-14,18:30:00,17-05-14,08:45:00,"KC, AM",7,3,7,70,10,10,0,0,0,75,0.1,NA
Naxos,VIGLA,18-05-14,18:30:00,17-05-14,08:45:00,"KC, AM",8,2,10,48,10,30,0,0,0,60,0.3,P. erhardii in pitfall trap
Naxos,VIGLA,18-05-14,18:30:00,17-05-14,08:45:00,"KC, AM",9,0,30,63,5,2,0,0,0,40,0.1,NA
Naxos,VIGLA,18-05-14,18:30:00,17-05-14,08:45:00,"KC, AM",10,0,35,35,20,10,0,0,0,75,0.1,NA
Naxos,VIGLA,18-05-14,18:30:00,17-05-14,08:45:00,"KC, AM",11,0,15,70,10,5,0,0,0,60,0.15,NA
Naxos,VIGLA,18-05-14,18:30:00,17-05-14,08:45:00,"KC, AM",12,0,30,50,0,15,0,0,5,45,0.15,NA
Naxos,DEMAR,19-05-14,18:10:00,18-05-14,09:00:00,"KC, AM",1,20,65,0,0,10,0,0,5,12,0.4,Rained on and off on the 19th
Naxos,DEMAR,19-05-14,18:10:00,18-05-14,09:00:00,"KC, AM",2,10,5,20,0,65,0,0,0,15,0.3,NA
Naxos,DEMAR,19-05-14,18:10:00,18-05-14,09:00:00,"KC, AM",3,60,10,30,0,0,0,0,0,5,0.2,NA
Naxos,DEMAR,19-05-14,18:10:00,18-05-14,09:00:00,"KC, AM",4,10,20,45,20,5,0,0,0,0,0.4,NA
Naxos,DEMAR,19-05-14,18:10:00,18-05-14,09:00:00,"KC, AM",5,5,5,55,20,5,0,0,10,0,0.2,NA
Naxos,DEMAR,19-05-14,18:10:00,18-05-14,09:00:00,"KC, AM",6,30,50,8,10,2,0,0,0,0,0.4,NA
Naxos,DEMAR,19-05-14,18:10:00,18-05-14,09:00:00,"KC, AM",7,20,60,5,10,5,0,0,0,0,0.3,NA
Naxos,DEMAR,19-05-14,18:10:00,18-05-14,09:00:00,"KC, AM",8,1,0,87,2,10,0,0,0,15,0.3,NA
Naxos,DEMAR,19-05-14,18:10:00,18-05-14,09:00:00,"KC, AM",9,15,20,40,0,5,0,0,20,12,0.3,Uner Oak tree
Naxos,DEMAR,19-05-14,18:10:00,18-05-14,09:00:00,"KC, AM",10,5,40,15,0,40,0,0,0,18,0.3,NA
Naxos,DEMAR,19-05-14,18:10:00,18-05-14,09:00:00,"KC, AM",11,20,75,0,0,5,0,0,0,20,0.45,Sticky Trap fallen
Naxos,DEMAR,19-05-14,18:10:00,18-05-14,09:00:00,"KC, AM",12,85,10,0,0,5,0,0,0,7,0.25,Trampled; sticky trap 7 m from pitfall trap
Naxos,RACHI,21-05-14,19:00:00,20-05-14,09:00:00,"KC, ZM",1,3,30,62,0,5,0,0,0,10,0.2,Sticky trap blown away (not recovered)
Naxos,RACHI,21-05-14,19:00:00,20-05-14,09:00:00,"KC, ZM",2,2,10,88,0,0,0,0,0,20,0.5,Sticky trap ripped by wind
