island,site,date_analyzed,trap,condition,coleoptera,diptera,hemiptera,hymenoptera,lepidoptera,orthoptera,blattodea,collembola,dermaptera,embioptera,isoptera,neuroptera,psocoptera,thysanura,coleoptera_larvae,diptera_larvae,lepidoptera_larvae,acari,araneae,chilopoda,isopoda,opilliones,pseudoscorpiones,gastropoda,gecko,lizard,comments,trap_type,sampleID
Naxos,EMONI,17-18 May 2014,1,GOOD,3,26,0,2,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,pitfall,P-EMONI-1
Naxos,EMONI,17-18 May 2015,2,GOOD,0,1,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,pitfall,P-EMONI-2
Naxos,EMONI,17-18 May 2016,3,GOOD,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,pitfall,P-EMONI-3
Naxos,EMONI,17-18 May 2017,4,GOOD,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,pitfall,P-EMONI-4
Naxos,EMONI,17-18 May 2018,5,GOOD,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,pitfall,P-EMONI-5
Naxos,EMONI,17-18 May 2019,6,GOOD,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,pitfall,P-EMONI-6
Naxos,EMONI,17-18 May 2020,7,GOOD,0,10,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,pitfall,P-EMONI-7
Naxos,EMONI,17-18 May 2021,8,GOOD,3,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,pitfall,P-EMONI-8
Naxos,EMONI,17-18 May 2022,9,GOOD,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,pitfall,P-EMONI-9
Naxos,EMONI,17-18 May 2023,10,GOOD,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,pitfall,P-EMONI-10
Naxos,EMONI,17-18 May 2024,11,GOOD,2,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,pitfall,P-EMONI-11
Naxos,EMONI,17-18 May 2025,12,GOOD,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,pitfall,P-EMONI-12
Naxos,VIGLA,19-May-14,1,GOOD,2,1,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,pitfall,P-VIGLA-1
Naxos,VIGLA,19-May-14,2,GOOD,4,0,24,7,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,NA,pitfall,P-VIGLA-2
Naxos,VIGLA,19-May-14,3,GOOD,0,0,2,12,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,1,0,0,0,NA,pitfall,P-VIGLA-3
Naxos,VIGLA,19-May-14,4,GOOD,2,0,0,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,pitfall,P-VIGLA-4
Naxos,VIGLA,19-May-14,5,GOOD,1,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,NA,pitfall,P-VIGLA-5
Naxos,VIGLA,19-May-14,6,GOOD,2,0,3,13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,NA,pitfall,P-VIGLA-6
