island,site,date_analyzed,trap,condition,coleoptera,diptera,hemiptera,hymenoptera,lepidoptera,orthoptera,collembola,embioptera,raphidioptera,homoptera,psocoptera,neuroptera,diptera_larvae,coleoptera_larvae,lepidoptera_larvae,acari,araneae,gastropoda,gecko,comments,trap_type,sampleID
Naxos,EMONI,18-May-14,1,GOOD,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,sticky,S-EMONI-1
Naxos,EMONI,18-May-14,2,GOOD,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-EMONI-2
Naxos,EMONI,18-May-14,3,GOOD,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-EMONI-3
Naxos,EMONI,18-May-14,4,GOOD,0,13,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-EMONI-4
Naxos,EMONI,18-May-14,5,GOOD,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-EMONI-5
Naxos,EMONI,18-May-14,6,GOOD,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-EMONI-6
Naxos,EMONI,18-May-14,7,GOOD,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-EMONI-7
Naxos,EMONI,18-May-14,8,GOOD,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-EMONI-8
Naxos,EMONI,18-May-14,9,GOOD,1,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-EMONI-9
Naxos,EMONI,18-May-14,10,GOOD,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-EMONI-10
Naxos,EMONI,18-May-14,11,GOOD,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-EMONI-11
Naxos,EMONI,18-May-14,12,GOOD,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-EMONI-12
Naxos,VIGLA,19-May-14,1,GOOD,0,15,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-VIGLA-1
Naxos,VIGLA,19-May-14,2,GOOD,1,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-VIGLA-2
Naxos,VIGLA,19-May-14,3,GOOD,2,22,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-VIGLA-3
Naxos,VIGLA,19-May-14,4,GOOD,0,13,1,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-VIGLA-4
Naxos,VIGLA,19-May-14,5,GOOD,4,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-VIGLA-5
Naxos,VIGLA,19-May-14,6,GOOD,1,8,2,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-VIGLA-6
Naxos,VIGLA,19-May-14,7,GOOD,1,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-VIGLA-7
Naxos,VIGLA,19-May-14,8,GOOD,2,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-VIGLA-8
Naxos,VIGLA,19-May-14,9,GOOD,0,20,2,2,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,NA,sticky,S-VIGLA-9
Naxos,VIGLA,19-May-14,10,GOOD,2,22,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-VIGLA-10
Naxos,VIGLA,19-May-14,11,GOOD,0,10,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,NA,sticky,S-VIGLA-11
Naxos,VIGLA,19-May-14,12,GOOD,0,16,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,NA,sticky,S-VIGLA-12
Naxos,DEMAR,19-May-14,1,GOOD,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-DEMAR-1
Naxos,DEMAR,19-May-14,2,GOOD,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-DEMAR-2
Naxos,DEMAR,19-May-14,3,GOOD,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-DEMAR-3
Naxos,DEMAR,19-May-14,4,GOOD,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,sticky,S-DEMAR-4
Naxos,DEMAR,19-May-14,5,GOOD,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,sticky,S-DEMAR-5
